BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,ProductType
Faballey,printed lace round neck womens regular dress - purple,Small,2600.0,2080.0,20.0,Westernwear-Women,Dress
Latin Quarters,solid round neck polyester womens longline dress - blue,"S,M,L,XL,XX-Large",2699.0,1349.0,50.0,Westernwear-Women,Dress
Iti,womens embellished cape dress - green,"Medium,X-Small",,1899.0,0.0,Westernwear-Women,Dress
Faballey,embroidered short sleeves crepe womens regular jumpsuit - pink,"Medium,Small,X-Large,X-Small",2500.0,2000.0,20.0,Westernwear-Women,Dress
Only,textured cotton round neck womens dress - green,"34,36,38,40,42",4299.0,2579.0,40.0,Westernwear-Women,Dress
Zink London,printed collar neck polyester womens midi dress - pink,"Large,Medium,Small,X-Large,X-Small,XX-Large",2699.0,1619.0,40.0,Westernwear-Women,Dress
Forever New,printed off shoulder polyester womens dresses - print,8,8600.0,4300.0,50.0,Westernwear-Women,Dress
Fratini,sanya malhotra solid round neck blended womens mini dress - blush,"Large,Medium,Small,X-Large,XX-Large",,2499.0,0.0,Westernwear-Women,Dress
Aurelia,collar neck polyester a line designer womens dresses - natural,"Large,Medium,Small,X-Large,XX-Large",1999.0,1399.0,30.0,Indianwear-Women,Dress
Faballey,floral v neck georgette womens regular dresses - yellow,"X-Large,XX-Large",2800.0,1400.0,50.0,Westernwear-Women,Dress
Samshek,solid off shoulder satin womens regular dress - white,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",3190.0,2233.0,30.0,Westernwear-Women,Dress
W,printed collar neck viscose womens a-line dress - green,10,1999.0,999.0,50.0,Indianwear-Women,Dress
Sweet Dreams,printed cotton blend round neck womens night dress - rose,"Large,Medium,Small,X-Large",1449.0,1014.0,30.0,Lingerie&Nightwear-Women,Dress
And,womens regular fit floral dress - lemon,18,2299.0,1149.0,50.0,Westernwear-Women,Dress
Only,all over print polyester womens dress - black,"34,36,38,40,42",3699.0,2959.0,20.0,Westernwear-Women,Dress
Erotissch,black & white printed nightdress - multi,"Large,Medium,Small,X-Small",2390.0,956.0,60.0,Lingerie&Nightwear-Women,Dress
Zink London,structured round neck polyester womens dresses - green,"Small,X-Small",2499.0,999.0,60.0,Westernwear-Women,Dress
Samshek,printed scoop neck polyester womens bodycon dress - multi,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",2290.0,2061.0,10.0,Westernwear-Women,Dress
And,floral round neck polyester women flared gown - blue mix light,"8,10",,4499.0,0.0,Westernwear-Women,Dress
Infuse,striped collar neck cotton womens a-line dress - white,"Large,Medium,Small,X-Large,XX-Large",1499.0,749.0,50.0,Westernwear-Women,Dress
Zink London,printed shirt collar polyester womens a-line dress - off white,"Large,Medium,Small,X-Large,XX-Large",2999.0,1199.0,60.0,Westernwear-Women,Dress
Zink London,checks polyester v neck womens dress - blue,"Large,Medium,Small,X-Large,X-Small",2599.0,1559.0,40.0,Westernwear-Women,Dress
Sera,printed halter neck viscose womens fit and flare dress - coral,"Large,Medium,Small,X-Large",1594.0,797.0,50.0,Westernwear-Women,Dress
Zink London,womens brown v-neck striped shirt dress - pink,X-Small,2799.0,699.0,75.0,Westernwear-Women,Dress
Rare,striped shirt collar polyester womens jumpsuit dress - multi,"Large,Small",1999.0,799.0,60.0,Westernwear-Women,Dress
Latin Quarters,dyed collar neck cotton womens regular dress - red,S,2399.0,799.0,67.0,Westernwear-Women,Dress
Latin Quarters,printed v-neck polyester womens regular dress - blue,"S,XX-Large",,2699.0,0.0,Westernwear-Women,Dress
Juniper,floral mandarin neck chiffon womens tiered dress - black,"Large,Medium,Small",2098.0,1678.0,20.0,Indianwear-Women,Dress
Zink London,solid collared neck rayon womens a-line dress - blue,"Large,Medium,Small,X-Large,X-Small",2299.0,699.0,70.0,Westernwear-Women,Dress
Faballey,solid polyester blend womens regular dress - green,"Medium,Small",1700.0,850.0,50.0,Westernwear-Women,Dress
Fratini,solid v-neck tencel womens a-line dress - light blue,"Large,Small",1699.0,849.0,50.0,Westernwear-Women,Dress
Faballey,textured poly lycra one shoulder womens regular dress - silver,"Large,Medium,Small,X-Large",2800.0,2240.0,20.0,Westernwear-Women,Dress
Myshka,printed cotton square neck womens regular casual dress - red,"Large,Medium,Small,X-Large,XX-Large",3999.0,999.0,75.0,Indianwear-Women,Dress
Latin Quarters,printed polyester womens regular dress - red,"S,M,L,XL,XX-Large",,2699.0,0.0,Westernwear-Women,Dress
And,solid round neck polyester womens fit & flare dress - sage,"8,10,12,14",2199.0,1099.0,50.0,Westernwear-Women,Dress
Haute Curry,yarn dyed ankle length casual wear flared sleeve schiffli dress - blue,"Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,Indianwear-Women,Dress
Aurelia,printed cotton round neck womens flared dress - green,"Large,Medium,Small,X-Large,X-Small,XX-Large",,2999.0,0.0,Indianwear-Women,Dress
And,floral round neck polyester womens flared dress - sage,"8,14,16",2499.0,1999.0,20.0,Westernwear-Women,Dress
Gipsy,checks collared neck polyester womens front open dress - lemon,X-Large,2495.0,998.0,60.0,Westernwear-Women,Dress
Indya,geometric viscose off shoulder womens maxi dress - blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",2600.0,1300.0,50.0,Indianwear-Women,Dress
Latin Quarters,dyed collar neck polyester womens regular dress - teal,S,2499.0,1249.0,50.0,Westernwear-Women,Dress
Zink London,stripes polyester collar neck womens short dress - grey,"Large,Medium,Small,X-Large",2699.0,1619.0,40.0,Westernwear-Women,Dress
Kaftan Company,printed round neck cotton womens regular fit night dress - green,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",,2499.0,0.0,Lingerie&Nightwear-Women,Dress
Allen Solly,womens round neck solid a-line dress - fuschia,X-Small,2299.0,1379.0,40.0,Westernwear-Women,Dress
And,floral off shoulder viscose womens knee length dress - red,"8,10,12,14",1799.0,899.0,50.0,Westernwear-Women,Dress
Sera,solid sweetheart neck polyester womens fit and flare dress - orange,"Medium,Small",1494.0,672.0,55.0,Westernwear-Women,Dress
Faballey,solid crepe square neck womens dress - red,"Large,Medium,Small,X-Large,X-Small",1900.0,1520.0,20.0,Westernwear-Women,Dress
Forever New,floral viscose v neck womens dress - print,"6,8,10,12,14",6200.0,4340.0,30.0,Westernwear-Women,Dress
Iti,womens solid cape sleeves v neck fit and flare maxi dress - blue,Small,,2699.0,0.0,Westernwear-Women,Dress
Zink London,printed polyester womens fit and flare dress - red,"Large,Medium,Small,X-Large",2999.0,1199.0,60.0,Westernwear-Women,Dress
