BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,ProductType
Janasya,printed polyester round neck womens straight fit kurta palazzo set - off white,"Large,Small,X-Small",3998.0,1999.0,50.0,Indianwear-Women,Ethnic Wear
Kashish,embroidered mandarian collar straight fit womens kurta - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,999.0,50.0,Indianwear-Women,Ethnic Wear
Kashish,embroidered round neck straight fit womens kurta - gold,"Large,Medium,Small,X-Large",1299.0,649.0,50.0,Indianwear-Women,Ethnic Wear
Aurelia,round neck cotton womens calf length kurta - navy,"Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,909.0,30.0,Indianwear-Women,Ethnic Wear
Infuse,printed round neck regular fit womens kurta - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,999.0,50.0,Indianwear-Women,Ethnic Wear
Juniper,ethnic motifs mandarin collar straight fit womens kurta dupatta set - teal,"Large,Medium,Small,X-Large,X-Small",1899.0,949.0,50.0,Indianwear-Women,Ethnic Wear
Stop,womens free size printed dupatta - red,Nan,599.0,299.0,50.0,Indianwear-Women,Ethnic Wear
Varanga,gotta patti embellished cotton v-neck womens regular fit kurta - black,"Large,Small,X-Large",1999.0,599.0,70.0,Indianwear-Women,Ethnic Wear
Global Desi,solid viscose round neck womens ankle length kurta - indigo,"XL,Large,Medium,Small,X-Small,XX-Large",2699.0,2159.0,20.0,Indianwear-Women,Ethnic Wear
Stop,yarn dyed mandarin collar a-line womens kurta - red,"S,M,L,X-Large,X-Small,XX-Large",1499.0,749.0,50.0,Indianwear-Women,Ethnic Wear
Indya,embellished nylon regular fit womens dupatta - yellow,Nan,,1600.0,0.0,Indianwear-Women,Ethnic Wear
Stop,embro calf length casual wear kurta - blue,"S,M,L,X-Large,X-Small,XX-Large",,1299.0,0.0,Indianwear-Women,Ethnic Wear
Vastranand,floral zari silk blend festive wear womens regular saree - purple,Nan,4599.0,2299.0,50.0,Indianwear-Women,Ethnic Wear
Ziyaa,floral round neck rayon womens ethnic set - maroon,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",3027.0,1210.0,60.0,Indianwear-Women,Ethnic Wear
Vastranand,solid zari linen festive wear womens regular saree - orange,Nan,3475.0,1737.0,50.0,Indianwear-Women,Ethnic Wear
Yuris,paisley round neck cotton womens kurta set - multi,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",3499.0,1399.0,60.0,Indianwear-Women,Ethnic Wear
Stop,womens printed knee length daily wear kurta - pink,"S,M,X-Small,XX-Large",799.0,399.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,geometric zari linen festive wear womens regular saree - red,Nan,3475.0,1390.0,60.0,Indianwear-Women,Ethnic Wear
Vastranand,structured zari silk blend festive wear womens regular saree - navy,Nan,4799.0,2159.0,55.0,Indianwear-Women,Ethnic Wear
Stop,full length cotton lycra knitted womens churidar - yellow,"S,M,L,X-Large,XX-Large",499.0,349.0,30.0,Indianwear-Women,Ethnic Wear
Janasya,tasseled poly crepe womens kurta - green,"Medium,Small,X-Large,X-Small,XX-Large",1399.0,559.0,60.0,Indianwear-Women,Ethnic Wear
Myshka,solid cotton round neck womens kurta palazzo set - pink,"Large,Medium,Small,X-Large,XX-Large",3999.0,999.0,75.0,Indianwear-Women,Ethnic Wear
Aurelia,printed cotton round neck womens straight kurta - pink,"Medium,Small,X-Small",,1199.0,0.0,Indianwear-Women,Ethnic Wear
Janasya,womens navy blue rayon kurta with palazzo (set083) - blue,X-Small,3059.0,1070.0,65.0,Indianwear-Women,Ethnic Wear
Juniper,embroidered rayon round neck womens straight kurta - olive,"Medium,X-Large,XX-Large",1899.0,854.0,55.0,Indianwear-Women,Ethnic Wear
Vastranand,structured zari silk blend festive wear womens regular saree - red,Nan,4799.0,2399.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,structured zari silk blend festive wear womens regular saree - pink,Nan,4799.0,2159.0,55.0,Indianwear-Women,Ethnic Wear
Aurelia,dyed cotton round neck womens ethnic set - grey,XX-Large,,3399.0,0.0,Indianwear-Women,Ethnic Wear
Biba,printed polyester round neck womens pant kurta dupatta set - black,"32,40,42",3299.0,2309.0,30.0,Indianwear-Women,Ethnic Wear
Ziyaa,printed polyester round neck womens straight kurta - grey,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",1414.0,707.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,stripes zari chiffon festive wear womens regular saree - grey,Nan,5700.0,2850.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,floral zari cotton blend festive wear womens regular saree - grey,Nan,4545.0,2272.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,solid zari cotton blend festive wear womens regular saree - orange,Nan,3000.0,1500.0,50.0,Indianwear-Women,Ethnic Wear
Vastranand,polka dots zari silk blend festive wear womens regular saree - white,Nan,5500.0,2475.0,55.0,Indianwear-Women,Ethnic Wear
W,round neck cotton blend womens calf length kurta - blue,"6,8,10,12,14,16,18",,2299.0,0.0,Indianwear-Women,Ethnic Wear
Vastranand,solid zari silk blend festive wear womens regular saree - grey,Nan,4995.0,2247.0,55.0,Indianwear-Women,Ethnic Wear
Varanga,maxi pure cotton womens ethnic skirt - pink,"Large,Medium,Small,X-Large,XX-Large",1999.0,999.0,50.0,Indianwear-Women,Ethnic Wear
Aurelia,printed polyester mandarin womens ethnic set - blue,Small,,3599.0,0.0,Indianwear-Women,Ethnic Wear
Vastranand,solid zari georgette festive wear womens regular saree - yellow,Nan,3500.0,1925.0,45.0,Indianwear-Women,Ethnic Wear
Janasya,floral cotton round neck womens kurta palazzo set with dupatta - black,"Small,X-Small",3998.0,1399.0,65.0,Indianwear-Women,Ethnic Wear
Ziyaa,floral round neck rayon womens ethnic set - maroon,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",3117.0,1246.0,60.0,Indianwear-Women,Ethnic Wear
Kashish,embroidered round neck a-line womens kurta - peach,"Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,999.0,50.0,Indianwear-Women,Ethnic Wear
